nob,cnt_gen_band,cnt_blk_band,cnt_suc_band,total_Gen_bandwidth,total_Block_bandwidth,cnt_suc_nos,utilization,avghop,routing_name,assingment_name,networktopo
0,[4916. 5118. 5036. 5098. 4976. 4758. 5046. 5050. 5038. 4964.],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4916. 5118. 5036. 5098. 4976. 4758. 5046. 5050. 5038. 4964.],3434800.0,0,[8349. 8426. 7889. 6228. 5486. 2594. 2759. 2787. 2738. 2744.],0.1674939449404762,2.4348,KSP,2D,test_nsf
2,[4944. 4988. 5066. 4933. 4951. 4968. 4962. 5043. 5116. 5029.],[0. 0. 0. 0. 0. 0. 0. 1. 1. 0.],[4944. 4988. 5066. 4933. 4951. 4968. 4962. 5042. 5115. 5029.],3447812.5,212.5,[8285. 8184. 7847. 6180. 5590. 2754. 2753. 2739. 2824. 2842.],0.25377316071428574,2.4451978079123164,KSP,2D,test_nsf
90,[4926. 4956. 5060. 4941. 5036. 4949. 5064. 5002. 5038. 5028.],[ 0.  0.  0.  0.  2.  1.  7.  9. 21. 50.],[4926. 4956. 5060. 4941. 5034. 4948. 5057. 4993. 5017. 4978.],3446775.0,10325.0,[8339. 8285. 7844. 6162. 5640. 2707. 2734. 2683. 2772. 2744.],0.32576368005952383,2.4026046884391907,KSP,2D,test_nsf
359,[4987. 5051. 4939. 5098. 4864. 5106. 4929. 4964. 4983. 5079.],[  0.   0.   2.   5.   7.   7.  24.  65. 102. 147.],[4987. 5051. 4937. 5093. 4857. 5099. 4905. 4899. 4881. 4932.],3438825.0,39737.5,[8324. 8477. 7743. 6202. 5341. 2790. 2667. 2665. 2700. 2732.],0.3959372157738095,2.3660482262645797,KSP,2D,test_nsf
837,[5052. 5013. 5114. 4906. 5007. 4976. 5014. 5005. 5004. 4909.],[  0.   0.   1.   2.  15.  31.  82. 146. 242. 318.],[5052. 5013. 5113. 4904. 4992. 4945. 4932. 4859. 4762. 4591.],3427487.5,92150.0,[8457. 8252. 7932. 6179. 5474. 2653. 2660. 2618. 2560. 2378.],0.44682636607142856,2.329231332506153,KSP,2D,test_nsf
1880,[4940. 4950. 5006. 5182. 4983. 5032. 4983. 4936. 5028. 4960.],[  0.   0.   2.  14.  28.  98. 187. 351. 530. 670.],[4940. 4950. 5004. 5168. 4955. 4934. 4796. 4585. 4498. 4290.],3436425.0,204712.5,[8254. 8316. 7845. 6250. 5451. 2671. 2568. 2393. 2278. 2094.],0.49422953720238094,2.2951787198669993,KSP,2D,test_nsf
3212,[4998. 5022. 5056. 4991. 4960. 4951. 4990. 5011. 5071. 4950.],"[0.00e+00 1.00e+00 1.10e+01 2.70e+01 8.30e+01 2.20e+02 3.66e+02 5.44e+02
 8.60e+02 1.10e+03]",[4998. 5021. 5045. 4964. 4877. 4731. 4624. 4467. 4211. 3850.],3435462.5,344150.0,[8285. 8454. 7762. 6122. 5235. 2499. 2402. 2263. 2073. 1693.],0.5214669985119048,2.269150209455416,KSP,2D,test_nsf
4464,[5040. 4906. 4984. 4865. 4991. 4991. 5093. 4886. 5082. 5162.],"[0.000e+00 1.000e+00 1.400e+01 7.000e+01 1.450e+02 3.030e+02 5.800e+02
 7.850e+02 1.188e+03 1.378e+03]",[5040. 4905. 4970. 4795. 4846. 4688. 4513. 4101. 3894. 3784.],3453275.0,470987.5,[8334. 8135. 7843. 5913. 5281. 2493. 2311. 1985. 1711. 1530.],0.5497060803571429,2.234364019676739,KSP,2D,test_nsf
